iter	Passed	Remaining
400	25578	38208
401	25640	38141
402	25705	38080
403	25771	38019
404	25832	37952
405	25893	37883
406	25953	37813
407	26017	37750
408	26084	37692
409	26149	37629
410	26211	37562
411	26271	37493
412	26331	37425
413	26395	37361
414	26459	37297
415	26517	37226
416	26589	37173
417	26654	37111
418	26736	37073
419	26801	37011
420	26886	36976
421	26968	36938
422	27031	36872
423	27092	36804
424	27153	36737
425	27217	36673
426	27285	36614
427	27353	36555
428	27420	36496
429	27483	36431
430	27543	36362
431	27603	36293
432	27659	36219
433	27719	36150
434	27782	36085
435	27842	36016
436	27902	35947
437	27961	35878
438	28021	35808
439	28080	35739
440	28155	35689
441	28213	35617
442	28272	35547
443	28329	35475
444	28389	35406
445	28447	35336
446	28508	35268
447	28570	35202
448	28628	35131
449	28687	35062
450	28745	34992
451	28807	34925
452	28894	34890
453	28961	34830
454	29018	34757
455	29075	34686
456	29132	34614
457	29189	34543
458	29249	34474
459	29307	34404
460	29368	34337
461	29428	34269
462	29485	34198
463	29545	34129
464	29602	34059
465	29662	33990
466	29719	33919
467	29780	33853
468	29837	33781
469	29896	33712
470	29954	33643
471	30012	33573
472	30075	33508
473	30134	33439
474	30196	33374
475	30253	33304
476	30312	33235
477	30372	33168
478	30456	33127
479	30525	33069
480	30589	33006
481	30649	32938
482	30707	32869
483	30767	32801
484	30842	32750
485	30902	32682
486	30968	32621
487	31036	32562
488	31094	32493
489	31153	32425
490	31211	32356
491	31275	32292
492	31363	32253
493	31426	32189
494	31484	32120
495	31550	32059
496	31615	31997
497	31681	31935
498	31742	31869
499	31800	31800
500	31860	31733
501	31925	31671
502	31991	31609
503	32052	31543
504	32111	31475
505	32171	31408
506	32230	31340
507	32304	31287
508	32366	31221
509	32429	31157
510	32488	31089
511	32551	31025
512	32609	30956
513	32671	30891
514	32730	30823
515	32797	30763
516	32859	30698
517	32917	30629
518	33040	30621
519	33131	30583
520	33252	30572
521	33327	30517
522	33398	30461
523	33466	30400
524	33534	30341
525	33608	30286
526	33679	30228
527	33748	30169
528	33815	30107
529	33881	30045
530	33948	29984
531	34019	29927
532	34083	29862
533	34143	29795
534	34223	29745
535	34281	29676
536	34348	29614
537	34409	29548
538	34478	29489
539	34566	29445
540	34639	29389
541	34700	29322
542	34761	29255
543	34820	29187
544	34877	29117
545	34939	29052
546	34999	28985
547	35060	28918
548	35121	28852
549	35183	28786
550	35243	28719
551	35303	28652
552	35363	28585
553	35435	28527
554	35516	28477
